pokemon,ability,is_hidden,slot,description
heatmor,Gluttony,No,1,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
heatmor,Flash Fire,No,2,"Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
heatmor,White Smoke,Yes,3,Prevents stats from being lowered by other Pokémon.
durant,Swarm,No,1,Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.
durant,Hustle,No,2,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
durant,Truant,Yes,3,Skips every second turn.
deino,Hustle,No,1,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
zweilous,Hustle,No,1,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
hydreigon,Levitate,No,1,Evades ground moves.
larvesta,Flame Body,No,1,Has a 30% chance of burning attacking Pokémon on contact.
larvesta,Swarm,Yes,3,Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.
volcarona,Flame Body,No,1,Has a 30% chance of burning attacking Pokémon on contact.
volcarona,Swarm,Yes,3,Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.
cobalion,Justified,No,1,Raises Attack one stage upon taking damage from a dark move.
terrakion,Justified,No,1,Raises Attack one stage upon taking damage from a dark move.
virizion,Justified,No,1,Raises Attack one stage upon taking damage from a dark move.
tornadus-incarnate,Prankster,No,1,Raises non-damaging moves' priority by one stage.
tornadus-incarnate,Defiant,Yes,3,Raises Attack two stages upon having any stat lowered.
thundurus-incarnate,Prankster,No,1,Raises non-damaging moves' priority by one stage.
thundurus-incarnate,Defiant,Yes,3,Raises Attack two stages upon having any stat lowered.
reshiram,Turboblaze,No,1,Bypasses targets' abilities if they could hinder or prevent moves.
zekrom,Teravolt,No,1,Bypasses targets' abilities if they could hinder or prevent moves.
landorus-incarnate,Sand Force,No,1,"Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage."
landorus-incarnate,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
kyurem,Pressure,No,1,Increases the PP cost of moves targetting the Pokémon by one.
keldeo-ordinary,Justified,No,1,Raises Attack one stage upon taking damage from a dark move.
meloetta-aria,Serene Grace,No,1,Doubles the chance of moves' extra effects occurring.
genesect,Download,No,1,Raises the attack stat corresponding to the opponents' weaker defense one stage upon entering battle.
chespin,Overgrow,No,1,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
chespin,Bulletproof,Yes,3,"Protects against bullet, ball, and bomb-based moves."
quilladin,Overgrow,No,1,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
quilladin,Bulletproof,Yes,3,"Protects against bullet, ball, and bomb-based moves."
chesnaught,Overgrow,No,1,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
chesnaught,Bulletproof,Yes,3,"Protects against bullet, ball, and bomb-based moves."
fennekin,Blaze,No,1,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
fennekin,Magician,Yes,3,Steals the target's held item when the bearer uses a damaging move.
braixen,Blaze,No,1,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
braixen,Magician,Yes,3,Steals the target's held item when the bearer uses a damaging move.
delphox,Blaze,No,1,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
delphox,Magician,Yes,3,Steals the target's held item when the bearer uses a damaging move.
froakie,Torrent,No,1,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
froakie,Protean,Yes,3,Changes the bearer's type to match each move it uses.
frogadier,Torrent,No,1,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
frogadier,Protean,Yes,3,Changes the bearer's type to match each move it uses.
greninja,Torrent,No,1,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
greninja,Protean,Yes,3,Changes the bearer's type to match each move it uses.
bunnelby,Pickup,No,1,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
bunnelby,Cheek Pouch,No,2,"Restores HP upon eating a Berry, in addition to the Berry's effect."
bunnelby,Huge Power,Yes,3,Doubles Attack in battle.
diggersby,Pickup,No,1,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
diggersby,Cheek Pouch,No,2,"Restores HP upon eating a Berry, in addition to the Berry's effect."
diggersby,Huge Power,Yes,3,Doubles Attack in battle.
fletchling,Big Pecks,No,1,Protects against Defense drops.
fletchling,Gale Wings,Yes,3,Raises flying moves' priority by one stage.
fletchinder,Flame Body,No,1,Has a 30% chance of burning attacking Pokémon on contact.
fletchinder,Gale Wings,Yes,3,Raises flying moves' priority by one stage.
talonflame,Flame Body,No,1,Has a 30% chance of burning attacking Pokémon on contact.
talonflame,Gale Wings,Yes,3,Raises flying moves' priority by one stage.
scatterbug,Shield Dust,No,1,Protects against incoming moves' extra effects.
scatterbug,Compound Eyes,No,2,Increases moves' accuracy to 1.3×.
scatterbug,Friend Guard,Yes,3,Decreases all direct damage taken by friendly Pokémon to 0.75×.
spewpa,Shed Skin,No,1,Has a 33% chance of curing any major status ailment after each turn.
spewpa,Friend Guard,Yes,3,Decreases all direct damage taken by friendly Pokémon to 0.75×.
vivillon,Shield Dust,No,1,Protects against incoming moves' extra effects.
vivillon,Compound Eyes,No,2,Increases moves' accuracy to 1.3×.
vivillon,Friend Guard,Yes,3,Decreases all direct damage taken by friendly Pokémon to 0.75×.
litleo,Rivalry,No,1,"Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
litleo,Unnerve,No,2,Prevents opposing Pokémon from eating held Berries.
litleo,Moxie,Yes,3,Raises Attack one stage upon KOing a Pokémon.
pyroar-male,Rivalry,No,1,"Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
pyroar-male,Unnerve,No,2,Prevents opposing Pokémon from eating held Berries.
pyroar-male,Moxie,Yes,3,Raises Attack one stage upon KOing a Pokémon.
flabebe,Flower Veil,No,1,Protects friendly grass Pokémon from having their stats lowered by other Pokémon.
flabebe,Symbiosis,Yes,3,Passes the bearer's held item to an ally when the ally uses up its item.
floette,Flower Veil,No,1,Protects friendly grass Pokémon from having their stats lowered by other Pokémon.
floette,Symbiosis,Yes,3,Passes the bearer's held item to an ally when the ally uses up its item.
florges,Flower Veil,No,1,Protects friendly grass Pokémon from having their stats lowered by other Pokémon.
florges,Symbiosis,Yes,3,Passes the bearer's held item to an ally when the ally uses up its item.
skiddo,Sap Sipper,No,1,"Absorbs grass moves, raising Attack one stage."
skiddo,Grass Pelt,Yes,3,Boosts Defense while grassy terrain is in effect.
gogoat,Sap Sipper,No,1,"Absorbs grass moves, raising Attack one stage."
gogoat,Grass Pelt,Yes,3,Boosts Defense while grassy terrain is in effect.
pancham,Iron Fist,No,1,Strengthens punch-based moves to 1.2× their power.
pancham,Mold Breaker,No,2,Bypasses targets' abilities if they could hinder or prevent a move.
pancham,Scrappy,Yes,3,Lets the Pokémon's normal and fighting moves hit ghost Pokémon.
pangoro,Iron Fist,No,1,Strengthens punch-based moves to 1.2× their power.
pangoro,Mold Breaker,No,2,Bypasses targets' abilities if they could hinder or prevent a move.
pangoro,Scrappy,Yes,3,Lets the Pokémon's normal and fighting moves hit ghost Pokémon.
furfrou,Fur Coat,No,1,Halves damage from physical attacks.
espurr,Keen Eye,No,1,Prevents accuracy from being lowered.
espurr,Infiltrator,No,2,"Bypasses light screen, reflect, and safeguard."
espurr,Own Tempo,Yes,3,Prevents confusion.
meowstic-male,Keen Eye,No,1,Prevents accuracy from being lowered.
meowstic-male,Infiltrator,No,2,"Bypasses light screen, reflect, and safeguard."
meowstic-male,Prankster,Yes,3,Raises non-damaging moves' priority by one stage.
honedge,No Guard,No,1,Ensures all moves used by and against the Pokémon hit.
doublade,No Guard,No,1,Ensures all moves used by and against the Pokémon hit.
aegislash-shield,Stance Change,No,1,"Changes aegislash to Blade Forme before using a damaging move, or Shield Forme before using kings shield."
spritzee,Healer,No,1,Has a 30% chance of curing each adjacent ally of any major status ailment after each turn.
spritzee,Aroma Veil,Yes,3,Protects allies against moves that affect their mental state.
aromatisse,Healer,No,1,Has a 30% chance of curing each adjacent ally of any major status ailment after each turn.
aromatisse,Aroma Veil,Yes,3,Protects allies against moves that affect their mental state.
swirlix,Sweet Veil,No,1,Prevents friendly Pokémon from sleeping.
swirlix,Unburden,Yes,3,Doubles Speed upon using or losing a held item.
slurpuff,Sweet Veil,No,1,Prevents friendly Pokémon from sleeping.
slurpuff,Unburden,Yes,3,Doubles Speed upon using or losing a held item.
inkay,Contrary,No,1,Inverts stat changes.
inkay,Suction Cups,No,2,Prevents being forced out of battle by other Pokémon's moves.
inkay,Infiltrator,Yes,3,"Bypasses light screen, reflect, and safeguard."
malamar,Contrary,No,1,Inverts stat changes.
malamar,Suction Cups,No,2,Prevents being forced out of battle by other Pokémon's moves.
malamar,Infiltrator,Yes,3,"Bypasses light screen, reflect, and safeguard."
binacle,Tough Claws,No,1,Strengthens moves that make contact to 1.33× their power.
binacle,Sniper,No,2,Strengthens critical hits to inflict 3× damage rather than 2×.
binacle,Pickpocket,Yes,3,Steals attacking Pokémon's held items on contact.
barbaracle,Tough Claws,No,1,Strengthens moves that make contact to 1.33× their power.
barbaracle,Sniper,No,2,Strengthens critical hits to inflict 3× damage rather than 2×.
barbaracle,Pickpocket,Yes,3,Steals attacking Pokémon's held items on contact.
skrelp,Poison Point,No,1,Has a 30% chance of poisoning attacking Pokémon on contact.
skrelp,Poison Touch,No,2,Has a 30% chance of poisoning target Pokémon upon contact.
skrelp,Adaptability,Yes,3,Increases the same-type attack bonus from 1.5× to 2×.
dragalge,Poison Point,No,1,Has a 30% chance of poisoning attacking Pokémon on contact.
dragalge,Poison Touch,No,2,Has a 30% chance of poisoning target Pokémon upon contact.
dragalge,Adaptability,Yes,3,Increases the same-type attack bonus from 1.5× to 2×.
clauncher,Mega Launcher,No,1,Strengthens aura and pulse moves to 1.5× their power.
clawitzer,Mega Launcher,No,1,Strengthens aura and pulse moves to 1.5× their power.
helioptile,Dry Skin,No,1,"Causes 1/8 max HP in damage each turn during strong sunlight, but heals for 1/8 max HP during rain.  Increases damage from fire moves to 1.25×, but absorbs water moves, healing for 1/4 max HP."
helioptile,Sand Veil,No,2,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
helioptile,Solar Power,Yes,3,Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.
heliolisk,Dry Skin,No,1,"Causes 1/8 max HP in damage each turn during strong sunlight, but heals for 1/8 max HP during rain.  Increases damage from fire moves to 1.25×, but absorbs water moves, healing for 1/4 max HP."
heliolisk,Sand Veil,No,2,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
heliolisk,Solar Power,Yes,3,Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.
tyrunt,Strong Jaw,No,1,Strengthens biting moves to 1.5× their power.
tyrunt,Sturdy,Yes,3,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
tyrantrum,Strong Jaw,No,1,Strengthens biting moves to 1.5× their power.
tyrantrum,Rock Head,Yes,3,Protects against recoil damage.
amaura,Refrigerate,No,1,Turns the bearer's normal moves into ice moves and strengthens them to 1.3× their power.
amaura,Snow Warning,Yes,3,Summons hail that lasts indefinitely upon entering battle.
aurorus,Refrigerate,No,1,Turns the bearer's normal moves into ice moves and strengthens them to 1.3× their power.
aurorus,Snow Warning,Yes,3,Summons hail that lasts indefinitely upon entering battle.
sylveon,Cute Charm,No,1,Has a 30% chance of infatuating attacking Pokémon on contact.
sylveon,Pixilate,Yes,3,Turns the bearer's normal moves into fairy moves and strengthens them to 1.3× their power.
hawlucha,Limber,No,1,Prevents paralysis.
hawlucha,Unburden,No,2,Doubles Speed upon using or losing a held item.
hawlucha,Mold Breaker,Yes,3,Bypasses targets' abilities if they could hinder or prevent a move.
dedenne,Cheek Pouch,No,1,"Restores HP upon eating a Berry, in addition to the Berry's effect."
dedenne,Pickup,No,2,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
dedenne,Plus,Yes,3,Increases Special Attack to 1.5× when a friendly Pokémon has plus or minus.
carbink,Clear Body,No,1,Prevents stats from being lowered by other Pokémon.
carbink,Sturdy,Yes,3,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
goomy,Sap Sipper,No,1,"Absorbs grass moves, raising Attack one stage."
goomy,Hydration,No,2,Cures any major status ailment after each turn during rain.
goomy,Gooey,Yes,3,Lowers attacking Pokémon's Speed by one stage on contact.
sliggoo,Sap Sipper,No,1,"Absorbs grass moves, raising Attack one stage."
sliggoo,Hydration,No,2,Cures any major status ailment after each turn during rain.
sliggoo,Gooey,Yes,3,Lowers attacking Pokémon's Speed by one stage on contact.
goodra,Sap Sipper,No,1,"Absorbs grass moves, raising Attack one stage."
goodra,Hydration,No,2,Cures any major status ailment after each turn during rain.
goodra,Gooey,Yes,3,Lowers attacking Pokémon's Speed by one stage on contact.
klefki,Prankster,No,1,Raises non-damaging moves' priority by one stage.
klefki,Magician,Yes,3,Steals the target's held item when the bearer uses a damaging move.
phantump,Natural Cure,No,1,Cures any major status ailment upon switching out.
phantump,Frisk,No,2,Reveals an opponent's held item upon entering battle.
phantump,Harvest,Yes,3,Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.
trevenant,Natural Cure,No,1,Cures any major status ailment upon switching out.
trevenant,Frisk,No,2,Reveals an opponent's held item upon entering battle.
trevenant,Harvest,Yes,3,Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.
pumpkaboo-average,Pickup,No,1,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
pumpkaboo-average,Frisk,No,2,Reveals an opponent's held item upon entering battle.
pumpkaboo-average,Insomnia,Yes,3,Prevents sleep.
gourgeist-average,Pickup,No,1,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
gourgeist-average,Frisk,No,2,Reveals an opponent's held item upon entering battle.
gourgeist-average,Insomnia,Yes,3,Prevents sleep.
bergmite,Own Tempo,No,1,Prevents confusion.
bergmite,Ice Body,No,2,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
bergmite,Sturdy,Yes,3,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
avalugg,Own Tempo,No,1,Prevents confusion.
avalugg,Ice Body,No,2,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
avalugg,Sturdy,Yes,3,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
noibat,Frisk,No,1,Reveals an opponent's held item upon entering battle.
noibat,Infiltrator,No,2,"Bypasses light screen, reflect, and safeguard."
noibat,Telepathy,Yes,3,Protects against friendly Pokémon's damaging moves.
noivern,Frisk,No,1,Reveals an opponent's held item upon entering battle.
noivern,Infiltrator,No,2,"Bypasses light screen, reflect, and safeguard."
noivern,Telepathy,Yes,3,Protects against friendly Pokémon's damaging moves.
xerneas,Fairy Aura,No,1,Strengthens fairy moves to 1.33× their power for all friendly and opposing Pokémon.
yveltal,Dark Aura,No,1,Strengthens dark moves to 1.33× their power for all friendly and opposing Pokémon.
zygarde-50,Aura Break,No,1,Makes dark aura and fairy aura weaken moves of their respective types.
diancie,Clear Body,No,1,Prevents stats from being lowered by other Pokémon.
hoopa,Magician,No,1,Steals the target's held item when the bearer uses a damaging move.
volcanion,Water Absorb,No,1,"Absorbs water moves, healing for 1/4 max HP."
rowlet,Overgrow,No,1,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
rowlet,Long Reach,Yes,3,This Pokémon's moves do not make contact.
dartrix,Overgrow,No,1,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
dartrix,Long Reach,Yes,3,This Pokémon's moves do not make contact.
decidueye,Overgrow,No,1,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
decidueye,Long Reach,Yes,3,This Pokémon's moves do not make contact.
litten,Blaze,No,1,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
litten,Intimidate,Yes,3,Lowers opponents' Attack one stage upon entering battle.
torracat,Blaze,No,1,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
torracat,Intimidate,Yes,3,Lowers opponents' Attack one stage upon entering battle.
incineroar,Blaze,No,1,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
incineroar,Intimidate,Yes,3,Lowers opponents' Attack one stage upon entering battle.
popplio,Torrent,No,1,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
popplio,Liquid Voice,Yes,3,Sound-based moves become Water-type.
brionne,Torrent,No,1,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
brionne,Liquid Voice,Yes,3,Sound-based moves become Water-type.
primarina,Torrent,No,1,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
primarina,Liquid Voice,Yes,3,Sound-based moves become Water-type.
pikipek,Keen Eye,No,1,Prevents accuracy from being lowered.
pikipek,Skill Link,No,2,Extends two-to-five-hit moves and triple kick to their full length every time.
pikipek,Pickup,Yes,3,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
trumbeak,Keen Eye,No,1,Prevents accuracy from being lowered.
trumbeak,Skill Link,No,2,Extends two-to-five-hit moves and triple kick to their full length every time.
trumbeak,Pickup,Yes,3,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
toucannon,Keen Eye,No,1,Prevents accuracy from being lowered.
toucannon,Skill Link,No,2,Extends two-to-five-hit moves and triple kick to their full length every time.
toucannon,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
yungoos,Stakeout,No,1,This Pokémon's moves have double power against Pokémon that switched in this turn.
yungoos,Strong Jaw,No,2,Strengthens biting moves to 1.5× their power.
yungoos,Adaptability,Yes,3,Increases the same-type attack bonus from 1.5× to 2×.
gumshoos,Stakeout,No,1,This Pokémon's moves have double power against Pokémon that switched in this turn.
gumshoos,Strong Jaw,No,2,Strengthens biting moves to 1.5× their power.
gumshoos,Adaptability,Yes,3,Increases the same-type attack bonus from 1.5× to 2×.
grubbin,Swarm,No,1,Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.
charjabug,Battery,No,1,Ally Pokémon's moves have their power increased to 1.3×.
vikavolt,Levitate,No,1,Evades ground moves.
crabrawler,Hyper Cutter,No,1,Prevents Attack from being lowered by other Pokémon.
crabrawler,Iron Fist,No,2,Strengthens punch-based moves to 1.2× their power.
crabrawler,Anger Point,Yes,3,Raises Attack to the maximum of six stages upon receiving a critical hit.
crabominable,Hyper Cutter,No,1,Prevents Attack from being lowered by other Pokémon.
crabominable,Iron Fist,No,2,Strengthens punch-based moves to 1.2× their power.
crabominable,Anger Point,Yes,3,Raises Attack to the maximum of six stages upon receiving a critical hit.
oricorio-baile,Dancer,No,1,"Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards."
cutiefly,Honey Gather,No,1,The Pokémon may pick up honey after battle.
cutiefly,Shield Dust,No,2,Protects against incoming moves' extra effects.
cutiefly,Sweet Veil,Yes,3,Prevents friendly Pokémon from sleeping.
ribombee,Honey Gather,No,1,The Pokémon may pick up honey after battle.
ribombee,Shield Dust,No,2,Protects against incoming moves' extra effects.
ribombee,Sweet Veil,Yes,3,Prevents friendly Pokémon from sleeping.
rockruff,Keen Eye,No,1,Prevents accuracy from being lowered.
rockruff,Vital Spirit,No,2,Prevents sleep.
rockruff,Steadfast,Yes,3,Raises Speed one stage upon flinching.
lycanroc-midday,Keen Eye,No,1,Prevents accuracy from being lowered.
lycanroc-midday,Sand Rush,No,2,Doubles Speed during a sandstorm.  Protects against sandstorm damage.
lycanroc-midday,Steadfast,Yes,3,Raises Speed one stage upon flinching.
wishiwashi-solo,Schooling,No,1,Wishiwashi becomes Schooling Form when its HP is 25% or higher.
mareanie,Merciless,No,1,This Pokémon's moves critical hit against poisoned targets.
mareanie,Limber,No,2,Prevents paralysis.
mareanie,Regenerator,Yes,3,Heals for 1/3 max HP upon switching out.
toxapex,Merciless,No,1,This Pokémon's moves critical hit against poisoned targets.
toxapex,Limber,No,2,Prevents paralysis.
toxapex,Regenerator,Yes,3,Heals for 1/3 max HP upon switching out.
mudbray,Own Tempo,No,1,Prevents confusion.
mudbray,Stamina,No,2,Raises this Pokémon's Defense by one stage when it takes damage from a move.
mudbray,Inner Focus,Yes,3,Prevents flinching.
mudsdale,Own Tempo,No,1,Prevents confusion.
mudsdale,Stamina,No,2,Raises this Pokémon's Defense by one stage when it takes damage from a move.
mudsdale,Inner Focus,Yes,3,Prevents flinching.
dewpider,Water Bubble,No,1,"Halves damage from Fire moves, doubles damage of Water moves, and prevents burns."
dewpider,Water Absorb,Yes,3,"Absorbs water moves, healing for 1/4 max HP."
araquanid,Water Bubble,No,1,"Halves damage from Fire moves, doubles damage of Water moves, and prevents burns."
araquanid,Water Absorb,Yes,3,"Absorbs water moves, healing for 1/4 max HP."
fomantis,Leaf Guard,No,1,Protects against major status ailments during strong sunlight.
fomantis,Contrary,Yes,3,Inverts stat changes.
lurantis,Leaf Guard,No,1,Protects against major status ailments during strong sunlight.
lurantis,Contrary,Yes,3,Inverts stat changes.
morelull,Illuminate,No,1,Doubles the wild encounter rate.
morelull,Effect Spore,No,2,"Has a 30% chance of inflcting either paralysis, poison, or sleep on attacking Pokémon on contact."
morelull,Rain Dish,Yes,3,Heals for 1/16 max HP after each turn during rain.
shiinotic,Illuminate,No,1,Doubles the wild encounter rate.
shiinotic,Effect Spore,No,2,"Has a 30% chance of inflcting either paralysis, poison, or sleep on attacking Pokémon on contact."
shiinotic,Rain Dish,Yes,3,Heals for 1/16 max HP after each turn during rain.
salandit,Corrosion,No,1,This Pokémon can inflict poison on Poison and Steel Pokémon.
salandit,Oblivious,Yes,3,Prevents infatuation and protects against captivate.
salazzle,Corrosion,No,1,This Pokémon can inflict poison on Poison and Steel Pokémon.
salazzle,Oblivious,Yes,3,Prevents infatuation and protects against captivate.
stufful,Fluffy,No,1,Damage from contact moves is halved.  Damage from Fire moves is doubled.
stufful,Klutz,No,2,Prevents the Pokémon from using its held item in battle.
stufful,Cute Charm,Yes,3,Has a 30% chance of infatuating attacking Pokémon on contact.
bewear,Fluffy,No,1,Damage from contact moves is halved.  Damage from Fire moves is doubled.
bewear,Klutz,No,2,Prevents the Pokémon from using its held item in battle.
bewear,Unnerve,Yes,3,Prevents opposing Pokémon from eating held Berries.
bounsweet,Leaf Guard,No,1,Protects against major status ailments during strong sunlight.
bounsweet,Oblivious,No,2,Prevents infatuation and protects against captivate.
bounsweet,Sweet Veil,Yes,3,Prevents friendly Pokémon from sleeping.
steenee,Leaf Guard,No,1,Protects against major status ailments during strong sunlight.
steenee,Oblivious,No,2,Prevents infatuation and protects against captivate.
steenee,Sweet Veil,Yes,3,Prevents friendly Pokémon from sleeping.
tsareena,Leaf Guard,No,1,Protects against major status ailments during strong sunlight.
tsareena,Queenly Majesty,No,2,Opposing Pokémon cannot use priority attacks.
tsareena,Sweet Veil,Yes,3,Prevents friendly Pokémon from sleeping.
comfey,Flower Veil,No,1,Protects friendly grass Pokémon from having their stats lowered by other Pokémon.
comfey,Triage,No,2,This Pokémon's healing moves have their priority increased by 3.
comfey,Natural Cure,Yes,3,Cures any major status ailment upon switching out.
oranguru,Inner Focus,No,1,Prevents flinching.
oranguru,Telepathy,No,2,Protects against friendly Pokémon's damaging moves.
oranguru,Symbiosis,Yes,3,Passes the bearer's held item to an ally when the ally uses up its item.
passimian,Receiver,No,1,"When an ally faints, this Pokémon gains its Ability."
passimian,Defiant,Yes,3,Raises Attack two stages upon having any stat lowered.
wimpod,Wimp Out,No,1,This Pokémon automatically switches out when its HP drops below half.
golisopod,Emergency Exit,No,1,This Pokémon automatically switches out when its HP drops below half.
sandygast,Water Compaction,No,1,Raises this Pokémon's Defense by two stages when it's hit by a Water move.
sandygast,Sand Veil,Yes,3,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
palossand,Water Compaction,No,1,Raises this Pokémon's Defense by two stages when it's hit by a Water move.
palossand,Sand Veil,Yes,3,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
pyukumuku,Innards Out,No,1,"When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining."
pyukumuku,Unaware,Yes,3,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
type-null,Battle Armor,No,1,Protects against critical hits.
silvally,Rks System,No,1,Changes this Pokémon's type to match its held Memory.
minior-red-meteor,Shields Down,No,1,Transforms this Minior between Core Form and Meteor Form.  Prevents major status ailments and drowsiness while in Meteor Form.
komala,Comatose,No,1,This Pokémon always  acts as though it were Asleep.
turtonator,Shell Armor,No,1,Protects against critical hits.
togedemaru,Iron Barbs,No,1,Damages attacking Pokémon for 1/8 their max HP on contact.
togedemaru,Lightning Rod,No,2,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
togedemaru,Sturdy,Yes,3,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
mimikyu-disguised,Disguise,No,1,Prevents the first instance of battle damage.
bruxish,Dazzling,No,1,Opposing Pokémon cannot use priority attacks.
bruxish,Strong Jaw,No,2,Strengthens biting moves to 1.5× their power.
bruxish,Wonder Skin,Yes,3,Lowers incoming non-damaging moves' base accuracy to exactly 50%.
drampa,Berserk,No,1,Raises this Pokémon's Special Attack by one stage every time its HP drops below half.
drampa,Sap Sipper,No,2,"Absorbs grass moves, raising Attack one stage."
drampa,Cloud Nine,Yes,3,"Negates all effects of weather, but does not prevent the weather itself."
dhelmise,Steelworker,No,1,This Pokémon's Steel moves have 1.5× power.
jangmo-o,Bulletproof,No,1,"Protects against bullet, ball, and bomb-based moves."
jangmo-o,Soundproof,No,2,Protects against sound-based moves.
jangmo-o,Overcoat,Yes,3,Protects against damage from weather.
hakamo-o,Bulletproof,No,1,"Protects against bullet, ball, and bomb-based moves."
hakamo-o,Soundproof,No,2,Protects against sound-based moves.
hakamo-o,Overcoat,Yes,3,Protects against damage from weather.
kommo-o,Bulletproof,No,1,"Protects against bullet, ball, and bomb-based moves."
kommo-o,Soundproof,No,2,Protects against sound-based moves.
kommo-o,Overcoat,Yes,3,Protects against damage from weather.
tapu-koko,Electric Surge,No,1,"When this Pokémon enters battle, it changes the terrain to Electric Terrain."
tapu-koko,Telepathy,Yes,3,Protects against friendly Pokémon's damaging moves.
tapu-lele,Psychic Surge,No,1,"When this Pokémon enters battle, it changes the terrain to Psychic Terrain."
tapu-lele,Telepathy,Yes,3,Protects against friendly Pokémon's damaging moves.
tapu-bulu,Grassy Surge,No,1,"When this Pokémon enters battle, it changes the terrain to Grassy Terrain."
tapu-bulu,Telepathy,Yes,3,Protects against friendly Pokémon's damaging moves.
tapu-fini,Misty Surge,No,1,"When this Pokémon enters battle, it changes the terrain to Misty Terrain."
tapu-fini,Telepathy,Yes,3,Protects against friendly Pokémon's damaging moves.
cosmog,Unaware,No,1,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
cosmoem,Sturdy,No,1,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
solgaleo,Full Metal Body,No,1,Other Pokémon cannot lower this Pokémon's stats.
lunala,Shadow Shield,No,1,"When this Pokémon has full HP, regular damage from moves is halved."
nihilego,Beast Boost,No,1,Raises this Pokémon's highest stat by one stage when it faints another Pokémon.
buzzwole,Beast Boost,No,1,Raises this Pokémon's highest stat by one stage when it faints another Pokémon.
